Objective,Name,Country,Longitude,Latitude,Elevation,Year,N_plots,Species,Structure,Age,Data,Organisation,Website,Responsible,Mail,References
Unknown,INIA-BU13,Spain,-3.2030555555555558,42.316944444444445,1070,1963,1,Pinus sylvestris,even-aged,87,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-CU22,Spain,-2.008611111111111,40.37694444444445,1400,1964,1,Pinus sylvestris,even-aged,83,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-CU23,Spain,-1.901111111111111,40.43694444444444,1495,1964,1,Pinus sylvestris,even-aged,88,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-CU24,Spain,-1.888611111111111,40.41277777777778,1485,1964,1,Pinus sylvestris,even-aged,98,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-CU25,Spain,-1.9080555555555554,40.445277777777775,1500,1964,1,Pinus sylvestris,even-aged,103,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-CU26,Spain,-1.913611111111111,40.455555555555556,1530,1964,1,Pinus sylvestris,even-aged,101,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-GU1,Spain,-2.167777777777778,40.683055555555555,1370,1963,1,Pinus sylvestris,even-aged,154,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-GU5,Spain,-1.7186111111111113,40.605555555555554,1550,1964,1,Pinus sylvestris,even-aged,132,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-GU6,Spain,-1.7147222222222223,40.60527777777778,1560,1964,1,Pinus sylvestris,even-aged,110,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-GU7,Spain,-1.7144444444444444,40.606944444444444,1642,1964,1,Pinus sylvestris,even-aged,114,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-GU8,Spain,-1.7247222222222223,40.511944444444445,1500,1964,1,Pinus sylvestris,even-aged,88,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-GU9,Spain,-1.7205555555555556,40.51027777777778,1510,1964,1,Pinus sylvestris,even-aged,112,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-GU11,Spain,-2.2380555555555555,40.705555555555556,1260,1964,1,Pinus sylvestris,even-aged,118,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-M1,Spain,-3.8866666666666667,40.86,1150,1963,1,Pinus sylvestris,even-aged,NA,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-M2,Spain,-3.8844444444444446,40.846944444444446,1180,1963,1,Pinus sylvestris,even-aged,96,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-M3,Spain,-3.7880555555555553,40.82472222222223,1310,1963,1,Pinus sylvestris,even-aged,102,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-M4,Spain,-3.7877777777777775,40.82805555555556,1335,1963,1,Pinus sylvestris,even-aged,101,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-M5,Spain,-3.7930555555555556,40.823888888888895,1370,1963,1,Pinus sylvestris,even-aged,83,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SG10,Spain,-3.8030555555555554,41.015277777777776,1430,1963,1,Pinus sylvestris,even-aged,116,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SG13,Spain,-3.8077777777777775,40.995,1655,1963,1,Pinus sylvestris,even-aged,81,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SG14,Spain,-3.806111111111111,41.015277777777776,1485,1963,1,Pinus sylvestris,even-aged,81,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SG11A,Spain,-3.8033333333333332,41.00666666666667,1550,1963,1,Pinus sylvestris,even-aged,78,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SG11B,Spain,-3.8024999999999998,41.007222222222225,1540,1963,1,Pinus sylvestris,even-aged,77,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO1,Spain,-2.9516666666666667,41.83861111111111,1162,1963,1,Pinus sylvestris,even-aged,145,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO2,Spain,-2.9472222222222224,41.84055555555556,1150,1963,1,Pinus sylvestris,even-aged,96,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO3,Spain,-2.941388888888889,41.841944444444444,1140,1963,1,Pinus sylvestris,even-aged,95,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO4,Spain,-2.9202777777777778,41.848333333333336,1145,1963,1,Pinus sylvestris,even-aged,93,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO5,Spain,-2.8769444444444443,41.849722222222226,1115,1963,1,Pinus sylvestris,even-aged,79,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO6,Spain,-2.9230555555555555,41.86472222222223,1130,1963,1,Pinus sylvestris,even-aged,148,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO7,Spain,-2.952777777777778,41.849722222222226,1149,1963,1,Pinus sylvestris,even-aged,130,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO8,Spain,-2.9511111111111115,41.84861111111111,1155,1963,1,Pinus sylvestris,even-aged,102,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO13,Spain,-2.9530555555555558,41.93527777777778,1520,1963,1,Pinus sylvestris,even-aged,112,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO14,Spain,-2.9525,41.93416666666666,1515,1963,1,Pinus sylvestris,even-aged,116,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO15,Spain,-2.9458333333333337,41.93416666666666,1240,1963,1,Pinus sylvestris,even-aged,152,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO17,Spain,-2.915277777777778,41.99,1440,1963,1,Pinus sylvestris,even-aged,137,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO18,Spain,-2.9233333333333333,41.99027777777778,1560,1963,1,Pinus sylvestris,even-aged,118,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO21,Spain,-2.8138888888888887,41.94444444444444,1550,1963,1,Pinus sylvestris,even-aged,100,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO22,Spain,-2.842777777777778,41.94638888888888,1570,1963,1,Pinus sylvestris,even-aged,96,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO23,Spain,-2.855,41.95194444444445,1590,1963,1,Pinus sylvestris,even-aged,137,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO24,Spain,-2.863611111111111,41.95722222222223,1540,1963,1,Pinus sylvestris,even-aged,90,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO26,Spain,-2.912777777777778,41.921388888888885,1220,1963,1,Pinus sylvestris,even-aged,135,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO27,Spain,-2.9074999999999998,41.91916666666666,1232,1963,1,Pinus sylvestris,even-aged,140,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO28,Spain,-2.7827777777777776,41.958333333333336,1185,1963,1,Pinus sylvestris,even-aged,88,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO30,Spain,-2.789722222222222,41.976111111111116,1205,1963,1,Pinus sylvestris,even-aged,151,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-SO32,Spain,-2.7930555555555556,42.014722222222225,1450,1963,1,Pinus sylvestris,even-aged,93,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-TE3,Spain,-0.6941666666666667,40.45138888888889,1600,1964,1,Pinus sylvestris,even-aged,113,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-TE4,Spain,-0.6938888888888889,40.45111111111111,1585,1964,1,Pinus sylvestris,even-aged,112,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-TE8,Spain,-1.6205555555555555,40.35916666666667,1400,1964,1,Pinus sylvestris,even-aged,81,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-TE9,Spain,-1.6311111111111112,40.36222222222222,1460,1964,1,Pinus sylvestris,even-aged,119,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-TE10,Spain,-1.6577777777777778,40.365,1500,1964,1,Pinus sylvestris,even-aged,95,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
Unknown,INIA-TE14,Spain,-1.6633333333333333,40.53944444444444,1520,1964,1,Pinus sylvestris,even-aged,117,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98."
"The main aim is to present some results from long-term observations of the crown and structural dynamics in thinned pure beech stand. In today's changing environment the knowledge on the dynamics of crowns is gaining more importance because tree crowns define the way that trees react to new enviromental conditions, or the applied silvicultural measures, e. g. thinnings.",Daruvar - Vrani kamen,Croatia,17.354444444444447,45.590833333333336,465,1978,1,Fagus sylvatica,even-aged,117,dbh; height; hd; trunk lenght; horizontal projection of tree crown,<a href='http://www.sumins.hr/' target='_blank'>Croatian Forest Research Institute</a>,http://www.sumins.hr/,Martina Đodan;  Sanja Perić,martinat@sumins.hr; sanjap@sumins.hr,NA
"In the frame of IUFRO programme Croatia have started, among numerous European countries, with the establishment of provenance tests with the aim of research on adaptability of valuable foreign species.",Pilot object Lokve,Croatia,15.283333333333333,45.43333333333333,195,1969,4,Picea abies; Pinus sylvestris; Pinus nigra; Pinus strobus; Pseudotsuga menziesii; Larix decidua,even-aged,50,height; dbh; volume; biomass production,<a href='http://www.sumins.hr/' target='_blank'>Croatian Forest Research Institute</a>,http://www.sumins.hr/,Martina Đodan;  Sanja Perić,martinat@sumins.hr; sanjap@sumins.hr,"Orlić S, Ocvirek M (1993) Growth of domestic and foreign conifer species in young cultures on fernery and heath areas of Croatia. Radovi, Vol. 28, BR. 1-2,:91-103, Jastrebarsko; Orlić S, Ocvirek M (1994): Research in provenances of Douglas Fir (Pseudotsuga menziesii (Mirb.) Franco) in Croatia. Šumarski list (0373-1332) 120, 11-12; 455-462; Orlić S, Komlenović N, Rastovski P, Ocvirek M. (1997) Growth and biomass production of six coniferous species on luvisol. Šumarski list (0373-1332) 121, 7-8; 361-370; Orlić S, Ocvirek M (1995) The growth of seven north - american tree species on experimental plots in heathlands area of Croatia; Radovi Vol. 30, Br. 2:141-151, Šumarski institut, Jastrebarsko; Perić S, Orlić S, Ivanković M (2004) Growth of six coniferous species in different bioclimates in Croatia. Ekologia (1335-342X) 23 (1) 86-98; Perić S, Seletković I, Medak J, Pilaš I, Topić, V. (2006.): Research of thriving of six coniferous species in ecologically characteristic regions of Croatia, Rad. Šumar. Inst. Izvanredno izdanje 9: 99-108, Jastrebarsko."
